country_name,poverty_rate
Puerto Rico,43.41
Mississippi,19.58
Louisiana,18.65
New Mexico,18.55
West Virginia,17.10
Kentucky,16.61
Arkansas,16.08
Alabama,15.98
District of Columbia,15.45
Oklahoma,15.27
South Carolina,14.68
Tennessee,14.62
Georgia,14.28
Texas,14.22
Arizona,14.12
North Carolina,13.98
Michigan,13.71
Ohio,13.62
New York,13.58
Florida,13.34
Missouri,13.01
Indiana,12.91
South Dakota,12.81
Montana,12.78
Nevada,12.78
California,12.58
Oregon,12.36
Illinois,11.99
Pennsylvania,11.95
Idaho,11.94
Rhode Island,11.58
Kansas,11.44
Delaware,11.44
Iowa,11.11
Maine,11.07
Wisconsin,10.97
Vermont,10.78
Wyoming,10.76
North Dakota,10.53
Nebraska,10.37
Alaska,10.34
Washington,10.19
Virginia,10.01
Massachusetts,9.85
Connecticut,9.78
Colorado,9.78
New Jersey,9.67
Minnesota,9.33
Hawaii,9.26
Utah,9.13
Maryland,9.02
New Hampshire,7.42
