country,percentage
Afghanistan,99.9840815027062
Albania,98.4496124031008
Algeria,98.1397970687712
American Samoa,94.1176470588235
Andorra,95.2380952380952
Angola,94.869109947644
Anguilla,88.8888888888889
Antigua and Barbuda,95.6521739130435
Argentina,87.8263021155512
Armenia,98.7179487179487
Aruba,96.2962962962963
Australia,75.7861635220126
Austria,86.5155131264917
Azerbaijan,99.9457111834962
Bahamas,97.2972972972973
Bahrain,98.406374501992
Bangladesh,99.9966372990786
Barbados,98.3050847457627
Belarus,71.5028601144046
Belgium,70.9752683154456
Belize,90.9090909090909
Benin,94.9267192784668
Bermuda,88.8888888888889
Bhutan,99.3197278911565
Bolivia,95.9758551307847
Bosnia and Herzegovina,97.6221928665786
Botswana,79.6019900497512
Brazil,92.0956118078531
British Virgin Islands,90.9090909090909
Brunei,98.7804878048781
Bulgaria,95.8694203864091
Burkina Faso,99.5752427184466
Burundi,99.940511600238
Cambodia,99.7879109225875
Cameroon,94.6469538618404
Canada,76.3374485596708
Cape Verde,90.3846153846154
Cayman Islands,94.1176470588235
Central African Republic,99.0929705215419
Chad,97.5100044464206
Chile,91.4035087719298
China,47.7609325316206
Colombia,93.4118155308349
Comoros,99.3377483443709
Cook Islands,90.9090909090909
Costa Rica,92.0770877944326
Croatia,94.8022598870056
Cuba,76.9982238010657
Curacao,97.1428571428571
Cyprus,99.1111111111111
Czech Republic,23.6190476190476
Denmark,88.2988298829883
Djibouti,99.4505494505495
Dominica,95.2380952380952
Dominican Republic,89.1348088531187
DR Congo,98.2267353743559
Ecuador,94.4732297063903
Egypt,99.9938378111905
El Salvador,89.0499194847021
Equatorial Guinea,95.7746478873239
Eritrea,99.9052132701422
Estonia,41.6058394160584
Eswatini,89.9581589958159
Ethiopia,99.9397227245329
Falkland Islands,87.5
Faroe Islands,94.1176470588235
Fiji,99.4219653179191
Finland,81.058495821727
France,72.0019111323459
French Guiana,98
French Polynesia,96.551724137931
Gabon,94.7019867549669
Gambia,99.7142857142857
Georgia,99.3142857142857
Germany,75.276394119791
Ghana,95.8188153310105
Gibraltar,92.3076923076923
Greece,93.8407391113067
Greenland,94.1176470588235
Grenada,96.2962962962963
Guadeloupe,97.9166666666667
Guam,97.5609756097561
Guatemala,95.8999305072967
Guinea,98.1981981981982
Guinea-Bissau,95.4545454545455
Guyana,98.7012987012987
Haiti,89.4211576846307
Honduras,89.5984200131666
Hong Kong,44.0905874026893
Hungary,81.3720580871307
Iceland,97.0588235294118
India,99.9289575541801
Indonesia,99.8999520603623
Iran,99.8513011152416
Iraq,99.8737772167876
Ireland,93.7360178970917
Isle of Man,90.9090909090909
Israel,96.900269541779
Italy,87.6135425268373
Ivory Coast,92.0445908284773
Jamaica,82.9710144927536
Japan,43.0084159785057
Jordan,99.9191592562652
Kazakhstan,95.8255451713396
Kenya,97.5320829220138
Kiribati,96
Kuwait,99.8181818181818
Kyrgyzstan,99.6258185219832
Laos,99.195494770716
Latvia,56.5789473684211
Lebanon,99.7644287396938
Lesotho,96.8181818181818
Liberia,98.503740648379
Libya,99.8427672955975
Liechtenstein,92.3076923076923
Lithuania,90.1197604790419
Luxembourg,73.8317757009346
Macau,85.4545454545455
Madagascar,93.050193050193
Malawi,97.5167785234899
Malaysia,99.3311036789298
Maldives,98.5507246376812
Mali,99.5448634590377
Malta,97.7272727272727
Marshall Islands,94.1176470588235
Martinique,98.8235294117647
Mauritania,99.8563218390805
Mauritius,99.6138996138996
Mayotte,97.8723404255319
Mexico,95.3004452673808
Micronesia,96.551724137931
Moldova,98.6072423398329
Monaco,92.3076923076923
Mongolia,64.3243243243243
Montenegro,96.9465648854962
Montserrat,87.5
Morocco,99.9843652282677
Mozambique,82.0512820512821
Myanmar,99.4996351506307
Namibia,98.2608695652174
Nauru,87.5
Nepal,99.7330218588353
Netherlands,57.9169175195665
New Caledonia,88.8888888888889
New Zealand,63.2606199770379
Nicaragua,87.4246339362619
Niger,99.2914653784219
Nigeria,99.5707883607903
Niue,87.5
North Korea,28.7620611784028
Northern Mariana Islands,93.3333333333333
Norway,89.9590163934426
Oman,99.8204667863555
Pakistan,99.9884782671314
Palau,90.9090909090909
Palestine,99.8771498771499
Panama,95.1841359773371
Papua New Guinea,99.9272727272727
Paraguay,98.9164086687306
Peru,97.0431493897198
Philippines,99.9034956036886
Poland,94.384223586261
Portugal,92.5128685072532
Puerto Rico,98.1382978723404
Qatar,98.8636363636364
Republic of the Congo,91.1001236093943
Reunion,97.6744186046512
Romania,99.9069551058386
Russia,83.7862413877522
Rwanda,96.4235294117647
Saint Kitts and Nevis,94.1176470588235
Saint Pierre and Miquelon,87.5
Saint Vincent and the Grenadines,96.2962962962963
Samoa,97.6744186046512
San Marino,92.3076923076923
Sao Tome and Principe,89.4736842105263
Saudi Arabia,99.3441428311168
Senegal,99.9598715890851
Serbia,96.7921036397286
Seychelles,96
Sierra Leone,99.9150382327952
Singapore,83.6774827925271
Sint Maarten,93.3333333333333
Slovakia,85.7404021937843
Slovenia,81.9951338199513
Solomon Islands,99.0990990990991
Somalia,99.9464954521134
South Africa,85.1416035101715
South Korea,53.6322125363221
South Sudan,99.4979919678715
Spain,81.0309278350515
Sri Lanka,99.9760421657882
Sudan,98.9589530041642
Suriname,94.2857142857143
Sweden,72.9499467518637
Switzerland,79.1258969341161
Syria,97.9447027159286
Taiwan,87.2954349698536
Tajikistan,98.5475671750182
Tanzania,98.5507246376812
Thailand,99.7251157407407
Timor-Leste,99.5670995670996
Togo,93.8792390405294
Tokelau,87.5
Tonga,96.2962962962963
Trinidad and Tobago,97.7777777777778
Tunisia,99.8094330633635
Turkey,98.817788164135
Turkmenistan,99.4076999012833
Turks and Caicos Islands,92.3076923076923
Tuvalu,87.5
Uganda,99.4914747233024
Ukraine,85.2772887323944
United Arab Emirates,98.8031914893617
United Kingdom,72.2481869460113
United States,83.5755017880731
United States Virgin Islands,96.2962962962963
Uruguay,59.4074074074074
Uzbekistan,99.198250728863
Vanuatu,98.0392156862745
Vatican City,87.5
Venezuela,89.9913718723037
Vietnam,70.3619394491236
Wallis and Futuna,88.8888888888889
Western Sahara,99.1150442477876
Yemen,99.9168744804655
Zambia,99.4652406417112
Zimbabwe,92.1241050119332
